Company,type,contact_person_name,contact_person_email,contact_person_phone,contact_person_role,billing_email,address_line1,address_line2,city,postcode,latitude,longitude,bed_capacity,cqc_rating,payment_terms,contract_start_date,contract_type,preferred_staffing_roles,max_concurrent_staff,notes
Divine Care Centre,care_home,Margaret Smith,g.basera5+clienttest1@gmail.com,1234567890,Care Home Manager,accounts@divine.com,100 High Street,,Wingate,TS28 5EN,54.6946,54.6946,50,good,net_30,01/01/2024,rolling,nurse care_worker,5,CQC Outstanding
SELF LIMITED,Supported Living,Ross Cousins,g.basera5+clienttest2@gmail.com,1915268565,Care Home Manager,rosscousins@selfne.co.uk,14-16 Park View,Hetton Le Hole,Tyne & Wear,DH5 9JH,54.6946,54.6946,,Good,net_30,01/03/2022,rolling,Support Workers,5,CQC Outstanding
RICHMOND COURT,care_home,Lynn Spencer,g.basera5+clienttest3@gmail.com,1388745675,Care Home Manager,richmondcourt.admin@bondcare.co.uk,"Hall Lane, Willington ",Crook,County Durham,DL15 0PR,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers &n nurses",,
LUMLEY COURT,care_home,Julie Gray,g.basera5+clienttest4@gmail.com,1388747698,Care Home Manager,willingtonadmin@bondcare.co.uk,"Hall Lane, Willington ",Crook,County Durham,DL15 0PR,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
PORTLAND HUB,Supported Living,Tish Taylor,g.basera5+clienttest5@gmail.com,1388747698,Care Home Manager,portland.admin@bondcare.co.uk,"Portland Hub, Willington Care Village",Crook,County Durham,DL15 0PR,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
CASTLEBANK,care_home,Kate Boughey,g.basera5+clienttest6@gmail.com,1388731152,Care Home Manager,kate@castlebankcarehome.co.uk,"22 Castle Bank, Tow Law",Bishop Auckland,Bishop Auckland,DL13 4AE,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
BENFIELD HALL,care_home,Margaretta malec,g.basera5+clienttest7@gmail.com,1207591020,Care Home Manager,accounts@d3central.co.uk,155 Durham Road,Consett,County Durham,DH8 5TH,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
CURA CARE UK,Supported Living,Corrinne Towsey,g.basera5+clienttest8@gmail.com,1915001131,Head of Operations,corrinne@curacareuk.com,Unit 10 Waterside House,Sunderland Enterprise Park,"Sunderland, Tyne & Wear",SR5 2TZ,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
GRAIGARANN NURSING HOME,care_home,Sarah Bewick,g.basera5+clienttest9@gmail.com,01429 880550,Care Home Manager,craigarrannursing@tiscali.co.uk,"Cinnamon Drive, trimdon station",Hartlepool,County Durham,TS29 6NY,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
CLAYTON HOUSE,care_home,Mark Kirby,g.basera5+clienttest10@gmail.com,01287 622468 / 07386 700516,Care Home Manager,claytonhouse.uk@gmail.com,Victoria Terrace,"Saltburn by Sea,",County Durham,TS12 1HN,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
WILLOW VIEW,care_home,Matthew Carter,g.basera5+clienttest11@gmail.com,1642555222,Care Home Manager,admin@willowviewcare.co.uk,201 Norton Road ,Stockton-on-Tees,Cleveland,TS20 2BL,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
ALISON HOUSE,care_home,Angela Blythe,g.basera5+clienttest12@gmail.com,1642675983,Care Home Manager,angelablythe@allisonhousethornabylimited.co.uk,"Funday way, Thornaby","Stockton-On-Tees,",Cleveland,TS17 6EN,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
ARLINGTON CARE GROUP,Supported Living,Liz Searle,g.basera5+clienttest13@gmail.com,01207 423423,Care Home Manager,accounts@arlingtoncaregroup.co.uk,"Gloucester Road, Delves Lane",Consett,County Durham,DH8 7FA,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
SEAFARERS WAY,Supported Living,Mike Purvis,g.basera5+clienttest14@gmail.com,1904675207,Care Home Manager,Mike.Purvis@cahne.co.uk,Moor Terrace,Hendon,"Sunderland, Tyne & Wear",SR1 2JY,54.6946,54.6946,,Good,net_30,,,"Hca's, Support Workers Senior Carers & nurses",,
